SDB BB KHTN KHXH
BD1200607 11.850000 0.000000 17.000000
BD1200608 15.000000 0.000000 14.750000
BD1200609 17.600000 0.000000 18.500000
BD1200610 13.700000 0.000000 16.250000
BD1200611 18.450001 8.250000 20.750000
BD1200612 13.200000 0.000000 13.500000
BD1200613 7.250000 0.000000 4.000000
BD1200614 13.850000 10.250000 20.000000
BD1200615 13.400001 0.000000 19.000000
BD1200616 11.299999 6.250000 13.250000
BD1200617 18.299999 18.500000 0.000000
BD1200618 17.750000 15.750000 0.000000
BD1200619 9.550000 0.000000 18.750000
BD1200620 8.650000 0.000000 11.000000
BD1200621 20.500000 18.250000 0.000000
BD1200623 10.650000 6.500000 14.250000
BD1200624 18.700001 17.000000 0.000000
BD1200625 18.400000 15.000000 0.000000
BD1200626 17.400000 0.000000 20.750000
BD1200627 13.100000 12.500000 0.000000
BD1200628 5.950000 0.000000 12.250000
BD1200629 16.200001 14.750000 0.000000
BD1200630 16.150000 10.000000 17.500000
BD1200631 17.400002 14.500000 0.000000
BD1200632 15.700000 17.500000 0.000000
BD1200633 14.750000 0.000000 15.500000
BD1200634 19.799999 15.500000 0.000000
BD1200635 13.850000 0.000000 18.500000
BD1200636 15.450001 11.750000 18.000000
BD1200637 17.850000 22.000000 0.000000
BD1200638 12.600000 9.500000 15.250000
BD1200639 13.900000 0.000000 19.500000
BD1200640 16.650000 11.500000 0.000000
BD1200641 16.500000 0.000000 19.000000
BD1200642 15.900000 13.250000 0.000000
BD1200643 15.549999 14.500000 0.000000
BD1200644 18.400000 0.000000 20.250000
BD1200645 18.049999 0.000000 19.250000
BD1200646 18.299999 0.000000 20.000000
BD1200647 10.750000 0.000000 17.250000
BD1200648 15.000000 15.000000 0.000000
BD1200649 18.700001 15.750000 0.000000
BD1200650 6.700000 0.000000 6.000000
BD1200651 7.050000 0.000000 12.000000
BD1200652 13.450001 0.000000 15.500000
BD1200653 21.299999 20.750000 0.000000
BD1200654 15.000000 16.750000 0.000000
BD1200655 21.150000 19.250000 0.000000
BD1200656 17.200001 0.000000 17.250000
BD1200657 22.350000 0.000000 0.000000
BD1200658 9.550000 0.000000 15.500000
BD1200659 16.449999 17.000000 0.000000
BD1200661 15.100000 16.000000 0.000000
BD1200662 7.450000 0.000000 9.000000
BD1200663 13.900000 13.250000 15.250000
BD1200664 14.299999 12.750000 13.000000
BD1200665 8.300000 0.000000 12.500000
BD1200666 15.049999 13.750000 0.000000
BD1200667 11.000000 0.000000 15.250000
BD1200668 12.550000 11.250000 0.000000
BD1200669 17.100000 0.000000 16.750000
BD1200670 20.600000 16.750000 0.000000
